DATE,GS10
01/01/2013,1.91
01/02/2013,1.98
01/03/2013,1.96
01/04/2013,1.76
01/05/2013,1.93
01/06/2013,2.3
01/07/2013,2.58
01/08/2013,2.74
01/09/2013,2.81
01/10/2013,2.62
01/11/2013,2.72
01/12/2013,2.9
01/01/2014,2.86
01/02/2014,2.71
01/03/2014,2.72
01/04/2014,2.71
01/05/2014,2.56
01/06/2014,2.6
01/07/2014,2.54
01/08/2014,2.42
01/09/2014,2.53
01/10/2014,2.3
01/11/2014,2.33
01/12/2014,2.21
01/01/2015,1.88
01/02/2015,1.98
01/03/2015,2.04
01/04/2015,1.94
01/05/2015,2.2
01/06/2015,2.36
01/07/2015,2.32
01/08/2015,2.17
01/09/2015,2.17
01/10/2015,2.07
01/11/2015,2.26
01/12/2015,2.24
01/01/2016,2.09
01/02/2016,1.78
01/03/2016,1.89
01/04/2016,1.81
01/05/2016,1.81
01/06/2016,1.64
01/07/2016,1.5
01/08/2016,1.56
01/09/2016,1.63
01/10/2016,1.76
01/11/2016,2.14
01/12/2016,2.49
01/01/2017,2.43
01/02/2017,2.42
01/03/2017,2.48
01/04/2017,2.3
01/05/2017,2.3
01/06/2017,2.19
01/07/2017,2.32
01/08/2017,2.21
01/09/2017,2.2
01/10/2017,2.36
01/11/2017,2.35
01/12/2017,2.4
01/01/2018,2.58
01/02/2018,2.86
01/03/2018,2.84
01/04/2018,2.87
01/05/2018,2.98
01/06/2018,2.91
01/07/2018,2.89
01/08/2018,2.89
01/09/2018,3
01/10/2018,3.15
01/11/2018,3.12
01/12/2018,2.83
01/01/2019,2.71
01/02/2019,2.68
01/03/2019,2.57
01/04/2019,2.53
01/05/2019,2.4
01/06/2019,2.07
01/07/2019,2.06
01/08/2019,1.63
01/09/2019,1.7
01/10/2019,1.71
01/11/2019,1.81
01/12/2019,1.86
01/01/2020,1.76
01/02/2020,1.5
01/03/2020,0.87
01/04/2020,0.66
01/05/2020,0.67
01/06/2020,0.73
01/07/2020,0.62
01/08/2020,0.65
01/09/2020,0.68
01/10/2020,0.79
01/11/2020,0.87
01/12/2020,0.93
01/01/2021,1.08
01/02/2021,1.26
01/03/2021,1.61
01/04/2021,1.64
01/05/2021,1.62
01/06/2021,1.52
01/07/2021,1.32
01/08/2021,1.28
01/09/2021,1.37
01/10/2021,1.58
01/11/2021,1.56
01/12/2021,1.47
01/01/2022,1.76
01/02/2022,1.93
01/03/2022,2.13
01/04/2022,2.75
01/05/2022,2.9
01/06/2022,3.14
01/07/2022,2.9
01/08/2022,2.9
01/09/2022,3.52
01/10/2022,3.98
01/11/2022,3.89
01/12/2022,3.62
01/01/2023,3.53
01/02/2023,3.75
01/03/2023,3.66
01/04/2023,3.46
01/05/2023,3.57
01/06/2023,3.75
01/07/2023,3.9
01/08/2023,4.17
01/09/2023,4.38
01/10/2023,4.8
01/11/2023,4.5
01/12/2023,4.02
